Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree,Multiplicity,Associated_genes
59,0.0018,0.002,0,126,108,"AC023830.2, OR8A2P, AL590635.1, AL355375.2, OR4A15, AC011228.1, AC112482.1, DPP10-AS1, RN7SKP107, (ENSG00000223053), AC139491.3, (ENSG00000272546), ZNF619P1, LINC01427, AC010625.1, AC022469.1, MIR320B1, CASC20, AC009237.4, AL591499.1, CEACAM18, OR5AZ1P, AP002383.2, LUZP4P1, AL161423.1, AC011447.5, AC217774.1, AL162231.3, LINC02548, H2ACP1, DNM1P31, AC010401.2, WDR95P, RBMY1KP, AC087341.1, AC061709.2, AL451074.1, LILRP1, AL049734.1, LINC02810, LINC02047, LINC01700, MTCO1P44, SSXP1, FAM25G, AC245088.1, AL391361.1, CDRT7, AC079584.1, AC092673.1, AC037486.1, AC108751.2, HNRNPH3P1, AC022469.2, AL391987.3, AL713998.1, WARS2P1, AP000949.1, OR2T27, LINC02165, MTCO1P18, MIR5011, AC112191.1, AL050349.1, OR4C14P, AC007333.1, AL157371.1, TEX36-AS1, H3P19, AC003975.1, CCNHP1, AL022329.3, UBQLN1P1, AP005019.2, AL157884.1, RPSAP48, AC009597.2, PCED1CP, RBMX2P4, FO393414.1, AC236972.3, NUP210P1, SIGLEC21P, TRIM60P3Y, AP000477.2, IGHVIII-26-1, KRTAP21-4P, AC034222.1, MTND3P8, FTLP19, AC063977.4, NFU1P1, AC114964.1, AC011193.1, C1orf94, AL391704.2, LINC00928, AC109445.1, AC112198.2, DHFRP3, LIN28AP2, AL591644.1, AC000077.1, PCNAP4, AC006363.1, POLR3KP1, RN7SL104P, AL135929.2"
60,0.461,0.4469,1264,0,1,AC021613.1
61,0.029,0.0281,11,574,1,GGT3P
62,0.0399,0.0441,20,37,1,TMEM143
63,0.2559,0.2605,438,0,1,DACH1
64,0.0073,0.008,4,600,1,AC145350.3
65,0.0309,0.0321,40,656,1,Metazoa_SRP
66,0.3684,0.3888,476,0,1,COLCA1
67,0.0181,0.02,9,716,1,RN7SL560P
68,0.0381,0.0341,18,67,1,RNU6-820P
69,0.029,0.0281,23,161,1,AC093367.1
70,0.0073,0.006,3,431,1,FGF23
71,0.0653,0.0681,29,2,1,SERTAD2
72,0.0036,0.004,2,2737,1,(ENSG00000264576)
73,0.1978,0.1944,247,0,1,ST3GAL6
74,0.5608,0.5772,1577,0,1,AP001029.1
75,0.1851,0.2024,195,0,1,PKP2
76,0.0236,0.0261,16,124,1,AL357315.1
77,0.0835,0.0902,40,6,1,RNU6-453P
78,0.1525,0.1563,192,1,1,AC005046.1
79,0.0236,0.0261,23,277,1,RPL35AP28
80,0.0091,0.01,6,935,1,AP005242.3
81,0.3376,0.3447,347,0,1,KRT1
82,0.0036,0.002,2,454,1,AC016583.1
83,0.0073,0.008,4,931,1,AC026185.1
84,0.0018,0.002,0,217,9,"PDLIM1P3, AC147055.4, IGKV2-38, LL22NC03-63E9.3, TNIP2P1, AC090673.1, AC092685.1, RAP2CP1, RBMY2EP"
85,0.0109,0.012,5,913,1,RNU6-1273P
86,0.0163,0.01,6,169,1,RNA5SP218
87,0.1506,0.1543,234,1,1,AL080312.2
88,0.1724,0.1904,155,0,1,RAET1K
89,0.8022,0.8096,3129,0,1,(ENSG00000264091)
90,0.0236,0.024,15,221,1,(ENSG00000238921)
91,0.2123,0.2285,227,0,1,AC022150.3
92,0.0762,0.0661,56,0,1,Y_RNA
93,0.02,0.022,8,475,1,DDX11L10
94,0.0327,0.0321,16,14,1,SLC45A4
95,0.0254,0.022,11,104,1,RNA5SP128
96,0.0327,0.0361,25,498,1,MTRF1
97,0.0127,0.01,6,511,1,AL135924.2
98,0.0073,0.008,7,376,1,AC112673.1
99,0.0054,0.006,3,523,1,AL157858.2
100,0.0073,0.008,9,270,2,"MTND5P14, NRG1-IT1"
101,0.0544,0.0601,28,5,1,U8
102,0.1525,0.1643,233,0,1,AC018648.1
103,0.343,0.3427,512,0,1,MTND2P28
104,0.0054,0.006,2,544,1,FMO7P
105,0.5862,0.5952,883,0,1,ESM1
