Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Brownian Nodes (Out degree>0),Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
97,TCGA-G9-6369-01A,Tumor,9900,3,27180,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1
98,TCGA-J9-A52E-01A,Tumor,10120,1,1270,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
99,TCGA-KC-A7F3-01A,Tumor,6087,3,26608,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
100,TCGA-EJ-7328-01A,Tumor,4947,2,21478,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
101,TCGA-WW-A8ZI-01A,Tumor,9836,1,5077,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
102,TCGA-EJ-7331-11A,Normal,2821,6,41641 45960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,TCGA-YL-A8SQ-01B,Tumor,7258,1,8001,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1
104,TCGA-FC-A66V-01A,Tumor,7670,1,22682,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
105,TCGA-EJ-5497-01A,Tumor,4848,1,10001,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
106,TCGA-HC-7078-01A,Tumor,7211,1,5464,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
107,TCGA-CH-5741-01A,Tumor,7641,535,Multiple,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
108,TCGA-FC-A4JI-01A,Tumor,10795,1,306,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
109,TCGA-EJ-7792-01A,Tumor,3772,3,4590 11745 29737,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,TCGA-HC-7231-01A,Tumor,5955,2,2908,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
111,TCGA-EJ-7317-01A,Tumor,5794,846,Multiple,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
112,TCGA-EJ-5498-01A,Tumor,3490,1,4652,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113,TCGA-V1-A8MG-01A,Tumor,7408,1,3045,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1
114,TCGA-G9-6348-01A,Tumor,4348,620,Multiple,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
115,TCGA-KK-A59X-01A,Tumor,9679,1,4167,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
116,TCGA-J4-A67L-01A,Tumor,8205,3,1176,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
117,TCGA-ZG-A8QW-01A,Tumor,5572,4,465 28832 40382,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
118,TCGA-EJ-7123-01A,Tumor,5853,5,15915,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
119,TCGA-EJ-7797-01A,Tumor,4252,2,14647,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
120,TCGA-MG-AAMC-01A,Tumor,10195,2,35560 43738,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1
121,TCGA-EJ-8470-01A,Tumor,7941,3,2430 34618 37701,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
122,TCGA-V1-A8MU-01A,Tumor,5308,5,35269,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
123,TCGA-KK-A8I7-01A,Tumor,3993,253,Multiple,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
124,TCGA-M7-A71Y-01A,Tumor,4419,207,Multiple,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,TCGA-HI-7170-01A,Tumor,3473,4,2326 10916,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,TCGA-YL-A9WJ-01A,Tumor,6143,657,Multiple,2,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
127,TCGA-KK-A6E3-01A,Tumor,7907,2,12880,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
128,TCGA-YL-A8SJ-01B,Tumor,6931,1,8078,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
129,TCGA-CH-5746-01A,Tumor,5493,1,29496,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
130,TCGA-4L-AA1F-01A,Tumor,7051,2,10653 15374,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
131,TCGA-EJ-A7NJ-01A,Tumor,5142,3,25597 27838,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
132,TCGA-EJ-A8FU-01A,Tumor,3652,2,6205,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
133,TCGA-V1-A9ZR-01A,Tumor,7424,1,42020,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
134,TCGA-EJ-A46F-01A,Tumor,12146,1,4582,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
135,TCGA-V1-A9OX-01A,Tumor,6418,2,13030,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
136,TCGA-EJ-A46D-01A,Tumor,6276,1,4198,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
137,TCGA-EJ-7327-01A,Tumor,4912,1,1174,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
138,TCGA-G9-6496-01A,Tumor,9337,2,6436 43738,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
139,TCGA-EJ-7123-11A,Normal,5682,1,17616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,TCGA-EJ-7314-11A,Normal,2253,12,4615 13705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,TCGA-EJ-5531-01A,Tumor,3759,6,12358,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,TCGA-FC-A6HD-01A,Tumor,12075,1,9191,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
143,TCGA-M7-A725-01A,Tumor,8142,573,Multiple,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
144,TCGA-HC-A6HY-01A,Tumor,7680,725,Multiple,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
145,TCGA-ZG-A9L4-01A,Tumor,4800,411,Multiple,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
146,TCGA-ZG-A9LS-01A,Tumor,5848,1,7914,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1
147,TCGA-EJ-7218-01B,Tumor,6360,1,7263,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
148,TCGA-CH-5754-01A,Tumor,7327,1,11523,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1
149,TCGA-TK-A8OK-01A,Tumor,4671,1,1049,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
150,TCGA-EJ-7318-01B,Tumor,6349,752,Multiple,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
151,TCGA-KK-A8IB-01A,Tumor,7388,2,8289 28951,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
152,TCGA-EJ-A7NF-01A,Tumor,7585,1089,Multiple,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
153,TCGA-V1-A9OL-01A,Tumor,8248,1,30533,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
154,TCGA-J4-A67S-01A,Tumor,8988,3,2190 3715 12835,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
155,TCGA-CH-5788-01A,Tumor,10118,1,15597,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
156,TCGA-J9-A8CP-01A,Tumor,5948,1,34941,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
157,TCGA-KK-A6E7-01A,Tumor,9305,188,Multiple,2,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
158,TCGA-EJ-5505-01A,Tumor,5152,365,Multiple,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
159,TCGA-ZG-A9M4-01A,Tumor,9367,1,10340,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
160,TCGA-KK-A8IM-01A,Tumor,5055,1,3100,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
161,TCGA-KK-A7AY-01A,Tumor,10062,367,Multiple,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
162,TCGA-M7-A71Z-01A,Tumor,10692,4,10913 32508,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
163,TCGA-M7-A723-01A,Tumor,5719,1,21616,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
164,TCGA-KK-A8I4-01A,Tumor,6360,2,1138,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
165,TCGA-J4-A83J-11A,Normal,5450,196,Multiple,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,TCGA-EJ-A7NM-01A,Tumor,8088,2,628 26341,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
167,TCGA-VN-A88O-01A,Tumor,7819,1,6892,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1
168,TCGA-V1-A9O9-01A,Tumor,8356,2,5724 8004,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
169,TCGA-ZG-A9NI-01A,Tumor,6202,1,8504,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
170,TCGA-YL-A9WY-01A,Tumor,7462,2,1884 45790,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1
171,TCGA-G9-7509-01A,Tumor,4434,2,10013,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,TCGA-CH-5769-11A,Normal,6395,1,35575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,TCGA-HC-8261-01A,Tumor,6055,484,Multiple,2,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1
174,TCGA-KK-A59V-01A,Tumor,12254,1,5698,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
175,TCGA-HC-7211-11A,Normal,8180,2,2411 3682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,TCGA-V1-A9OT-01A,Tumor,10631,1,879,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
177,TCGA-ZG-A9L2-01A,Tumor,4813,4,18540 31179,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
178,TCGA-CH-5790-01A,Tumor,7223,1,15045,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
179,TCGA-KK-A6E1-01A,Tumor,9767,2,3529 33976,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
180,TCGA-HC-7749-01A,Tumor,5269,1,18106,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
181,TCGA-CH-5764-01A,Tumor,6882,1,2708,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
182,TCGA-YL-A8SR-01B,Tumor,6819,1,46716,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
183,TCGA-YL-A8SL-01B,Tumor,10908,3,23182 33312,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1
184,TCGA-KK-A7AZ-01A,Tumor,9878,1,22992,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
185,TCGA-EJ-7115-11A,Normal,2220,1,46419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,TCGA-KK-A8II-01A,Tumor,9390,1,10615,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
187,TCGA-KK-A7B1-01A,Tumor,5838,2,19637,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
188,TCGA-G9-6494-01A,Tumor,5169,9,11026 13540 18300 31943,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
189,TCGA-KC-A7FD-01A,Tumor,8064,577,Multiple,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
190,TCGA-YL-A8S8-01A,Tumor,9349,1,900,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
191,TCGA-V1-A8X3-01A,Tumor,5441,2,4795,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
192,TCGA-HC-8265-01A,Tumor,8145,1,1476,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
193,TCGA-V1-A8MF-01A,Tumor,6793,2,39778,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
194,TCGA-J9-A8CM-01A,Tumor,5670,2,6789 38098,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
195,TCGA-KK-A8IK-01A,Tumor,11432,1,18440,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
196,TCGA-EJ-AB20-01A,Tumor,7055,3,2110 17883,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,TCGA-J4-A67K-01A,Tumor,9683,2,33139 35245,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
198,TCGA-HC-7212-01A,Tumor,7140,189,Multiple,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
199,TCGA-EJ-7782-11A,Normal,4456,1,27167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,TCGA-EJ-A46B-01A,Tumor,4300,1,37916,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
201,TCGA-EJ-A65E-01A,Tumor,7947,3,8274 32938 46870,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
202,TCGA-CH-5737-01A,Tumor,5999,1,31118,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
203,TCGA-HC-7740-01B,Tumor,24603,1,106,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1
204,TCGA-HI-7171-01A,Tumor,7473,1,11,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0
205,TCGA-KC-A4BL-01A,Tumor,5138,1,10825,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
206,TCGA-G9-6333-11A,Normal,2980,1,38378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,TCGA-EJ-7785-11A,Normal,2705,3,4435 9547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,TCGA-EJ-A6RA-01A,Tumor,4983,5,8268 11327 44971,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
209,TCGA-EJ-5518-01A,Tumor,5412,1,3291,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
