Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
79,TCGA-EJ-7125-01A,Tumor,6135,555,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
80,TCGA-HC-7232-01A,Tumor,5151,530,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
81,TCGA-EJ-7783-11A,Normal,5807,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,TCGA-QU-A6IO-01A,Tumor,12643,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
83,TCGA-YL-A8HM-01A,Tumor,9796,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
84,TCGA-J4-A67O-01A,Tumor,10948,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
85,TCGA-EJ-7781-01A,Tumor,5153,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
86,TCGA-G9-6353-01A,Tumor,3031,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,TCGA-M7-A722-01A,Tumor,13232,2,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
88,TCGA-EJ-7330-11A,Normal,3128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,TCGA-J4-A6G1-01A,Tumor,5428,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
90,TCGA-KC-A4BN-01A,Tumor,6705,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
91,TCGA-V1-A8ML-01A,Tumor,5883,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1
92,TCGA-EJ-A7NK-01A,Tumor,5421,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
93,TCGA-KK-A7AV-01A,Tumor,6560,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
94,TCGA-M7-A721-01A,Tumor,4624,10,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
95,TCGA-G9-7519-01A,Tumor,5740,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
96,TCGA-V1-A9Z7-01A,Tumor,6235,4,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
97,TCGA-G9-6369-01A,Tumor,9900,3,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1
98,TCGA-J9-A52E-01A,Tumor,10120,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
99,TCGA-KC-A7F3-01A,Tumor,6087,3,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
100,TCGA-EJ-7328-01A,Tumor,4947,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
101,TCGA-WW-A8ZI-01A,Tumor,9836,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
102,TCGA-EJ-7331-11A,Normal,2821,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,TCGA-YL-A8SQ-01B,Tumor,7258,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1
104,TCGA-FC-A66V-01A,Tumor,7670,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
105,TCGA-EJ-5497-01A,Tumor,4848,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
106,TCGA-HC-7078-01A,Tumor,7211,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
107,TCGA-CH-5741-01A,Tumor,7641,535,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
108,TCGA-FC-A4JI-01A,Tumor,10795,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
109,TCGA-EJ-7792-01A,Tumor,3772,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,TCGA-HC-7231-01A,Tumor,5955,2,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
111,TCGA-EJ-7317-01A,Tumor,5794,846,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
112,TCGA-EJ-5498-01A,Tumor,3490,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113,TCGA-V1-A8MG-01A,Tumor,7408,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1
114,TCGA-G9-6348-01A,Tumor,4348,620,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
115,TCGA-KK-A59X-01A,Tumor,9679,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
116,TCGA-J4-A67L-01A,Tumor,8205,3,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
117,TCGA-ZG-A8QW-01A,Tumor,5572,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
118,TCGA-EJ-7123-01A,Tumor,5853,5,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
119,TCGA-EJ-7797-01A,Tumor,4252,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
120,TCGA-MG-AAMC-01A,Tumor,10195,2,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1
121,TCGA-EJ-8470-01A,Tumor,7941,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
122,TCGA-V1-A8MU-01A,Tumor,5308,5,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
123,TCGA-KK-A8I7-01A,Tumor,3993,253,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
124,TCGA-M7-A71Y-01A,Tumor,4419,207,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,TCGA-HI-7170-01A,Tumor,3473,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,TCGA-YL-A9WJ-01A,Tumor,6143,657,2,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
127,TCGA-KK-A6E3-01A,Tumor,7907,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
128,TCGA-YL-A8SJ-01B,Tumor,6931,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
129,TCGA-CH-5746-01A,Tumor,5493,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
130,TCGA-4L-AA1F-01A,Tumor,7051,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
131,TCGA-EJ-A7NJ-01A,Tumor,5142,3,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
132,TCGA-EJ-A8FU-01A,Tumor,3652,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
133,TCGA-V1-A9ZR-01A,Tumor,7424,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1
134,TCGA-EJ-A46F-01A,Tumor,12146,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
135,TCGA-V1-A9OX-01A,Tumor,6418,2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
136,TCGA-EJ-A46D-01A,Tumor,6276,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
137,TCGA-EJ-7327-01A,Tumor,4912,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
138,TCGA-G9-6496-01A,Tumor,9337,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
139,TCGA-EJ-7123-11A,Normal,5682,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,TCGA-EJ-7314-11A,Normal,2253,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,TCGA-EJ-5531-01A,Tumor,3759,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,TCGA-FC-A6HD-01A,Tumor,12075,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
143,TCGA-M7-A725-01A,Tumor,8142,573,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
144,TCGA-HC-A6HY-01A,Tumor,7680,725,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
145,TCGA-ZG-A9L4-01A,Tumor,4800,411,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
146,TCGA-ZG-A9LS-01A,Tumor,5848,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1
147,TCGA-EJ-7218-01B,Tumor,6360,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
148,TCGA-CH-5754-01A,Tumor,7327,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1
149,TCGA-TK-A8OK-01A,Tumor,4671,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
150,TCGA-EJ-7318-01B,Tumor,6349,752,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
151,TCGA-KK-A8IB-01A,Tumor,7388,2,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
152,TCGA-EJ-A7NF-01A,Tumor,7585,1089,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
153,TCGA-V1-A9OL-01A,Tumor,8248,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
154,TCGA-J4-A67S-01A,Tumor,8988,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
155,TCGA-CH-5788-01A,Tumor,10118,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
156,TCGA-J9-A8CP-01A,Tumor,5948,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
157,TCGA-KK-A6E7-01A,Tumor,9305,188,2,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
158,TCGA-EJ-5505-01A,Tumor,5152,365,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
159,TCGA-ZG-A9M4-01A,Tumor,9367,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
160,TCGA-KK-A8IM-01A,Tumor,5055,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
161,TCGA-KK-A7AY-01A,Tumor,10062,367,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
162,TCGA-M7-A71Z-01A,Tumor,10692,4,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1
163,TCGA-M7-A723-01A,Tumor,5719,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
164,TCGA-KK-A8I4-01A,Tumor,6360,2,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
165,TCGA-J4-A83J-11A,Normal,5450,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,TCGA-EJ-A7NM-01A,Tumor,8088,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
167,TCGA-VN-A88O-01A,Tumor,7819,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1
168,TCGA-V1-A9O9-01A,Tumor,8356,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
169,TCGA-ZG-A9NI-01A,Tumor,6202,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
170,TCGA-YL-A9WY-01A,Tumor,7462,2,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1
171,TCGA-G9-7509-01A,Tumor,4434,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,TCGA-CH-5769-11A,Normal,6395,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,TCGA-HC-8261-01A,Tumor,6055,484,2,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1
174,TCGA-KK-A59V-01A,Tumor,12254,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
175,TCGA-HC-7211-11A,Normal,8180,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,TCGA-V1-A9OT-01A,Tumor,10631,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
177,TCGA-ZG-A9L2-01A,Tumor,4813,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
178,TCGA-CH-5790-01A,Tumor,7223,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
179,TCGA-KK-A6E1-01A,Tumor,9767,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
180,TCGA-HC-7749-01A,Tumor,5269,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
181,TCGA-CH-5764-01A,Tumor,6882,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
182,TCGA-YL-A8SR-01B,Tumor,6819,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0
183,TCGA-YL-A8SL-01B,Tumor,10908,3,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1
184,TCGA-KK-A7AZ-01A,Tumor,9878,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1
185,TCGA-EJ-7115-11A,Normal,2220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,TCGA-KK-A8II-01A,Tumor,9390,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
187,TCGA-KK-A7B1-01A,Tumor,5838,2,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
188,TCGA-G9-6494-01A,Tumor,5169,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
189,TCGA-KC-A7FD-01A,Tumor,8064,577,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
190,TCGA-YL-A8S8-01A,Tumor,9349,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0
191,TCGA-V1-A8X3-01A,Tumor,5441,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
192,TCGA-HC-8265-01A,Tumor,8145,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
193,TCGA-V1-A8MF-01A,Tumor,6793,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1
194,TCGA-J9-A8CM-01A,Tumor,5670,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
195,TCGA-KK-A8IK-01A,Tumor,11432,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
196,TCGA-EJ-AB20-01A,Tumor,7055,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,TCGA-J4-A67K-01A,Tumor,9683,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
198,TCGA-HC-7212-01A,Tumor,7140,189,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
199,TCGA-EJ-7782-11A,Normal,4456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,TCGA-EJ-A46B-01A,Tumor,4300,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
201,TCGA-EJ-A65E-01A,Tumor,7947,3,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
202,TCGA-CH-5737-01A,Tumor,5999,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
203,TCGA-HC-7740-01B,Tumor,24603,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1
204,TCGA-HI-7171-01A,Tumor,7473,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0
205,TCGA-KC-A4BL-01A,Tumor,5138,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
206,TCGA-G9-6333-11A,Normal,2980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,TCGA-EJ-7785-11A,Normal,2705,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,TCGA-EJ-A6RA-01A,Tumor,4983,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
209,TCGA-EJ-5518-01A,Tumor,5412,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
210,TCGA-G9-6351-01A,Tumor,4079,923,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211,TCGA-HC-7820-01A,Tumor,5795,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
212,TCGA-CH-5743-01A,Tumor,4395,435,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
213,TCGA-EJ-5501-01A,Tumor,3851,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
214,TCGA-ZG-A9N3-01A,Tumor,9641,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
215,TCGA-EJ-A7NG-01A,Tumor,3995,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,TCGA-J4-AATZ-01A,Tumor,7365,5,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
217,TCGA-EJ-7327-11A,Normal,4346,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,TCGA-XK-AAK1-01A,Tumor,9276,459,2,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1
219,TCGA-XK-AAIR-01A,Tumor,4148,505,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
220,TCGA-G9-6496-11A,Normal,2771,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,TCGA-FC-7961-01A,Tumor,6743,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
222,TCGA-EJ-7785-01A,Tumor,4567,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
223,TCGA-HC-7819-11A,Normal,2405,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,TCGA-EJ-A6RC-01A,Tumor,3804,5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
225,TCGA-XJ-A9DQ-01A,Tumor,5953,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
226,TCGA-SU-A7E7-01A,Tumor,6239,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
227,TCGA-VN-A88Q-01A,Tumor,7503,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
228,TCGA-G9-6351-11A,Normal,2777,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
